ip,count
104.118.223.139,1	
104.118.223.236,8	
104.118.223.29,4	
104.118.223.67,5	
104.118.223.68,6	
104.118.223.7,9	
104.118.223.71,2	
104.118.223.9,2	
104.118.242.135,2	
104.121.180.138,1	
104.130.132.18,1	
104.130.26.92,1	
104.130.3.107,1	
104.130.4.225,1	
104.131.71.216,15	
104.152.141.69,1	
104.152.141.70,3	
104.152.141.97,1	
104.152.142.69,1	
104.153.64.122,2	
104.154.118.163,3	
104.154.127.47,3	
104.154.130.226,2	
104.154.148.163,17	
104.154.178.88,4	
104.154.73.75,1	
104.154.79.29,33	
104.155.155.178,1	
104.155.177.112,2	
104.155.199.1,13	
104.155.59.61,16	
104.156.236.219,5	
104.16.100.29,31	
104.16.104.123,2	
104.16.105.123,2	
104.16.107.123,1	
104.16.107.64,1	
104.16.108.123,2	
104.16.108.18,11	
104.16.108.231,2	
104.16.109.18,18	
104.16.109.231,3	
104.16.110.18,4	
104.16.111.18,5	
104.16.112.18,9	
104.16.118.12,1	
104.16.119.12,1	
104.16.120.12,1	
104.16.120.168,3	
104.16.121.58,5	
104.16.122.175,1	
104.16.123.175,1	
104.16.124.175,1	
104.16.124.228,76	
104.16.125.228,65	
104.16.126.175,2	
104.16.126.228,77	
104.16.127.228,57	
104.16.127.51,12	
104.16.128.61,3	
104.16.129.61,7	
104.16.129.65,8	
104.16.130.61,12	
104.16.130.65,6	
104.16.131.65,4	
104.16.132.156,3	
104.16.132.65,7	
104.16.133.156,1	
104.16.133.65,2	
104.16.134.156,4	
104.16.135.156,4	
104.16.138.132,2	
104.16.139.132,3	
104.16.14.15,12	
104.16.14.221,10	
104.16.142.239,5	
104.16.143.239,8	
104.16.15.15,5	
104.16.15.221,14	
104.16.151.6,2	
104.16.153.6,2	
104.16.154.6,1	
104.16.155.223,2	
104.16.156.223,1	
104.16.157.223,1	
104.16.158.223,2	
104.16.159.223,2	
104.16.16.15,4	
104.16.16.221,3	
104.16.16.35,20	
104.16.160.13,8	
104.16.160.133,6	
104.16.160.135,5	
104.16.161.133,15	
104.16.161.135,7	
104.16.162.13,2	
104.16.162.179,16	
104.16.163.13,4	
104.16.164.13,1	
104.16.164.179,1	
104.16.165.179,23	
104.16.165.228,9	
104.16.17.15,5	
104.16.17.221,25	
104.16.17.35,11	
104.16.18.221,13	
104.16.18.29,5	
104.16.18.35,15	
104.16.181.67,3	
104.16.182.67,1	
104.16.185.108,2	
104.16.186.108,7	
104.16.187.108,4	
104.16.188.108,15	
104.16.189.108,2	
104.16.19.29,1	
104.16.19.35,18	
104.16.2.9,27	
104.16.2.92,1	
104.16.20.18,5	
104.16.20.35,5	
104.16.204.165,21	
104.16.205.165,21	
104.16.206.165,15	
104.16.207.165,35	
104.16.208.165,30	
104.16.21.18,4	
104.16.21.35,15	
104.16.22.11,31	
104.16.22.35,16	
104.16.23.11,24	
104.16.23.235,56	
104.16.23.35,9	
104.16.24.216,120	
104.16.24.235,58	
104.16.24.35,8	
104.16.24.4,8	
104.16.24.92,510	
104.16.247.204,3	
104.16.247.39,1	
104.16.25.216,129	
104.16.25.235,54	
104.16.25.35,10	
104.16.25.4,18	
104.16.25.92,715	
104.16.250.39,7	
104.16.251.39,18	
104.16.254.60,10	
104.16.255.60,11	
104.16.26.216,123	
104.16.26.235,56	
104.16.26.35,5	
104.16.26.92,488	
104.16.27.216,129	
104.16.27.235,57	
104.16.27.35,5	
104.16.27.92,470	
104.16.28.216,125	
104.16.28.27,3	
104.16.28.92,370	
104.16.3.9,39	
104.16.31.91,2	
104.16.32.229,71	
104.16.32.52,1	
104.16.35.83,1	
104.16.36.83,2	
104.16.37.47,5	
104.16.37.83,2	
104.16.38.14,8	
104.16.38.47,2	
104.16.38.83,1	
104.16.39.14,11	
104.16.39.35,23	
104.16.4.3,7	
104.16.40.2,21	
104.16.40.35,20	
104.16.41.2,22	
104.16.5.3,3	
104.16.52.4,44	
104.16.53.4,19	
104.16.54.15,1	
104.16.55.20,2	
104.16.57.61,8	
104.16.58.5,3	
104.16.58.61,4	
104.16.59.5,36	
104.16.6.18,1	
104.16.61.226,3	
104.16.62.226,4	
104.16.63.226,5	
104.16.63.54,6	
104.16.64.188,12	
104.16.64.226,2	
104.16.64.54,12	
104.16.65.157,16	
104.16.65.226,2	
104.16.66.157,15	
104.16.66.188,1	
104.16.67.157,19	
104.16.67.188,6	
104.16.68.157,15	
104.16.69.157,22	
104.16.71.45,1	
104.16.72.45,2	
104.16.75.39,17	
104.16.76.166,18	
104.16.76.39,18	
104.16.77.166,3	
104.16.77.22,1	
104.16.78.22,12	
104.16.79.22,4	
104.16.80.22,12	
104.16.81.211,3	
104.16.83.211,3	
104.16.83.55,12	
104.16.84.55,7	
104.16.85.20,7	
104.16.85.211,1	
104.16.87.20,5	
104.16.87.26,15	
104.16.88.20,4	
104.16.88.26,16	
104.16.92.65,10	
104.16.93.193,2	
104.16.93.65,7	
104.16.94.65,5	
104.16.95.65,5	
104.16.96.65,4	
104.16.98.40,1	
104.16.99.29,42	
104.17.102.89,42	
104.17.103.89,15	
104.17.104.89,22	
104.17.105.89,13	
104.17.106.89,9	
104.17.108.122,2	
104.17.110.122,4	
104.17.111.122,1	
104.17.127.32,7	
104.17.128.32,2	
104.17.129.32,3	
104.17.130.32,1	
104.17.131.32,2	
104.17.142.111,2	
104.17.143.111,3	
104.17.144.111,2	
104.17.145.111,3	
104.17.146.111,3	
104.17.152.30,6	
104.17.153.30,4	
104.17.155.30,6	
104.17.161.9,60	
104.17.162.9,60	
104.17.19.11,9	
104.17.20.11,2	
104.17.212.37,1	
104.17.213.37,10	
104.17.214.37,2	
104.17.215.37,5	
104.17.216.37,4	
104.17.227.106,8	
104.17.229.106,6	
104.17.230.106,4	
104.17.231.106,6	
104.17.237.25,3	
104.17.238.25,1	
104.17.239.25,1	
104.17.240.25,1	
104.17.241.25,2	
104.17.27.15,14	
104.17.28.15,6	
104.17.29.15,10	
104.17.30.15,7	
104.17.31.15,13	
104.17.37.113,6	
104.17.38.113,3	
104.17.39.113,1	
104.17.40.113,4	
104.17.41.113,1	
104.17.47.107,3	
104.17.48.107,2	
104.17.49.107,3	
104.17.50.107,2	
104.17.52.121,3	
104.17.53.121,4	
104.17.54.121,3	
104.17.55.121,8	
104.17.56.121,8	
104.17.61.91,1	
104.17.97.5,10	
104.17.98.5,9	
104.18.36.50,5	
104.18.37.242,1	
104.18.37.50,9	
104.18.44.160,4	
104.18.46.244,2	
104.18.47.244,7	
104.18.52.206,3	
104.18.53.206,1	
104.18.62.224,1	
104.18.63.224,1	
104.19.128.58,4	
104.19.129.58,1	
104.19.130.57,4	
104.19.143.57,4	
104.19.192.102,108	
104.19.193.102,83	
104.19.194.102,166	
104.19.195.102,120	
104.19.196.102,129	
104.192.108.27,4	
104.192.110.216,12	
104.192.110.245,3	
104.192.142.100,4	
104.192.142.99,2	
104.192.168.226,8	
104.193.82.52,24	
104.193.82.53,47	
104.193.82.55,5	
104.193.83.57,61	
104.193.88.102,12	
104.196.0.190,19	
104.196.10.168,1	
104.196.100.18,1	
104.196.101.162,1	
104.196.11.54,3	
104.196.11.69,3	
104.196.114.90,9	
104.196.116.189,17	
104.196.117.232,2	
104.196.12.104,2	
104.196.121.139,10	
104.196.121.62,6	
104.196.122.155,5	
104.196.125.8,4	
104.196.126.88,2	
104.196.128.34,4	
104.196.129.201,2	
104.196.129.43,1	
104.196.13.90,16	
104.196.131.150,14	
104.196.137.206,16	
104.196.142.190,3	
104.196.142.56,2	
104.196.144.51,2	
104.196.145.240,2	
104.196.146.38,6	
104.196.154.29,14	
104.196.173.14,1	
104.196.182.53,2	
104.196.187.28,1	
104.196.187.55,2	
104.196.188.7,2	
104.196.189.120,17	
104.196.190.141,6	
104.196.190.32,7	
104.196.192.218,2	
104.196.194.197,9	
104.196.196.130,4	
104.196.202.142,3	
104.196.202.173,1	
104.196.208.158,28	
104.196.209.138,8	
104.196.211.144,3	
104.196.212.162,2	
104.196.214.123,14	
104.196.215.51,7	
104.196.216.15,2	
104.196.216.31,2	
104.196.22.165,6	
104.196.221.126,5	
104.196.23.108,6	
104.196.26.242,5	
104.196.28.126,4	
104.196.28.5,3	
104.196.29.166,1	
104.196.37.199,2	
104.196.48.127,8	
104.196.5.104,3	
104.196.50.110,20	
104.196.62.72,7	
104.196.63.196,5	
104.196.63.219,8	
104.196.65.163,1	
104.196.69.241,2	
104.196.99.199,2	
104.197.122.221,2	
104.197.220.91,2	
104.197.250.13,1	
104.197.43.56,5	
104.198.102.225,1	
104.198.107.72,1	
104.198.122.84,3	
104.198.13.121,21	
104.199.123.9,59	
104.199.43.155,6	
104.20.0.101,19	
104.20.0.186,8	
104.20.1.101,21	
104.20.1.134,8	
104.20.1.186,3	
104.20.10.120,51	
104.20.10.37,39	
104.20.104.11,4	
104.20.105.11,5	
104.20.106.2,3	
104.20.107.2,4	
104.20.11.130,15	
104.20.11.37,27	
104.20.114.18,47	
104.20.115.18,47	
104.20.12.130,15	
104.20.12.25,2	
104.20.120.20,3	
104.20.121.20,1	
104.20.13.105,3	
104.20.13.25,4	
104.20.14.154,6	
104.20.15.154,6	
104.20.15.243,153	
104.20.159.22,3	
104.20.16.243,107	
104.20.16.99,6	
104.20.168.10,4	
104.20.169.10,4	
104.20.17.160,10	
104.20.17.99,12	
104.20.170.20,22	
104.20.18.160,10	
104.20.18.183,1	
104.20.18.239,2	
104.20.18.4,2	
104.20.182.9,18	
104.20.183.9,7	
104.20.19.183,1	
104.20.19.4,1	
104.20.2.12,18	
104.20.2.134,1	
104.20.2.47,25	
104.20.20.220,7	
104.20.20.239,11	
104.20.204.11,3	
104.20.208.21,6	
104.20.209.21,7	
104.20.21.220,2	
104.20.21.239,20	
104.20.23.216,3	
104.20.238.22,7	
104.20.239.22,10	
104.20.24.216,1	
104.20.240.42,1	
104.20.241.42,4	
104.20.254.41,13	
104.20.255.41,29	
104.20.27.114,2	
104.20.28.114,1	
104.20.3.12,17	
104.20.3.47,18	
104.20.30.2,60	
104.20.30.45,10	
104.20.31.2,52	
104.20.31.45,9	
104.20.50.119,15	
104.20.50.244,16	
104.20.50.83,23	
104.20.51.119,1	
104.20.51.16,2	
104.20.51.244,15	
104.20.51.83,29	
104.20.52.16,19	
104.20.52.8,5	
104.20.53.8,4	
104.20.54.197,2	
104.20.55.197,2	
104.20.55.219,6	
104.20.56.219,3	
104.20.57.245,33	
104.20.58.245,24	
104.20.6.87,6	
104.20.60.121,11	
104.20.61.121,15	
104.20.66.99,3	
104.20.67.99,1	
104.20.68.97,8	
104.20.69.97,10	
104.20.7.87,5	
104.20.78.168,1	
104.20.79.168,18	
104.20.8.57,1	
104.20.80.102,1	
104.20.84.39,9	
104.20.85.120,4	
104.20.85.184,16	
104.20.85.39,26	
104.20.86.108,55	
104.20.86.120,4	
104.20.86.139,1	
104.20.86.184,17	
104.20.87.108,38	
104.20.87.139,1	
104.20.89.25,6	
104.20.9.120,29	
104.20.9.57,3	
104.20.90.25,5	
104.20.91.208,5	
104.20.93.15,1	
104.200.148.15,2	
104.200.23.124,1	
104.210.11.88,6	
104.211.16.18,3	
104.211.48.16,1	
104.211.48.17,5	
104.225.8.149,8	
104.23.129.81,1	
104.23.130.81,5	
104.23.141.18,12	
104.23.142.18,10	
104.237.191.1,4	
104.239.227.128,22	
104.24.0.12,4	
104.24.1.12,1	
104.24.10.59,2	
104.24.10.72,7	
104.24.10.90,33	
104.24.107.213,2	
104.24.11.111,28	
104.24.11.59,4	
104.24.11.72,5	
104.24.11.90,23	
104.24.110.58,2	
104.24.111.58,2	
104.24.112.60,12	
104.24.113.60,14	
104.24.12.111,35	
104.24.120.101,1	
104.24.120.247,2	
104.24.120.61,1	
104.24.121.101,4	
104.24.121.247,1	
104.24.125.146,1	
104.24.16.29,7	
104.24.17.29,6	
104.24.19.65,2	
104.24.20.85,12	
104.24.21.85,9	
104.24.246.16,11	
104.24.247.16,23	
104.24.27.115,5	
104.24.28.115,7	
104.24.28.35,7	
104.24.29.35,84	
104.24.6.93,5	
104.24.7.93,5	
104.24.96.3,3	
104.24.97.3,1	
104.244.42.129,2	
104.244.43.112,26	
104.244.43.133,2	
104.244.43.144,23	
104.244.43.16,22	
104.244.43.176,29	
104.244.43.197,2	
104.244.43.229,2	
104.244.43.48,28	
104.244.43.80,37	
104.244.46.103,13	
104.244.46.135,34	
104.244.46.167,29	
104.244.46.199,13	
104.244.46.231,20	
104.244.46.39,31	
104.244.46.7,22	
104.244.46.71,20	
104.244.55.19,7	
104.244.55.20,6	
104.25.105.17,1	
104.25.109.119,6	
104.25.11.106,4	
104.25.110.119,5	
104.25.112.17,24	
104.25.113.17,82	
104.25.116.5,53	
104.25.117.5,19	
104.25.120.13,7	
104.25.121.13,13	
104.25.122.37,1	
104.25.131.104,59	
104.25.132.104,20	
104.25.137.118,2	
104.25.138.118,4	
104.25.14.31,13	
104.25.15.31,7	
104.25.16.36,3	
104.25.160.27,15	
104.25.161.101,1	
104.25.161.27,10	
104.25.162.101,3	
104.25.162.34,3	
104.25.163.34,10	
104.25.167.114,1	
104.25.168.114,2	
104.25.17.36,9	
104.25.173.102,3	
104.25.174.102,1	
104.25.184.27,5	
104.25.185.115,4	
104.25.185.27,2	
104.25.186.115,5	
104.25.191.114,4	
104.25.192.114,7	
104.25.20.5,8	
104.25.207.111,11	
104.25.208.111,14	
104.25.21.5,2	
104.25.215.101,3	
104.25.216.101,3	
104.25.218.21,1	
104.25.219.21,1	
104.25.231.115,7	
104.25.232.115,4	
104.25.232.13,2	
104.25.233.13,1	
104.25.236.27,9	
104.25.237.27,5	
104.25.238.35,2	
104.25.239.35,7	
104.25.248.26,17	
104.25.249.26,18	
104.25.26.30,2	
104.25.47.104,4	
104.25.48.104,4	
104.25.54.4,2	
104.25.55.4,7	
104.25.64.22,5	
104.25.64.8,4	
104.25.65.22,3	
104.25.65.8,9	
104.25.71.103,2	
104.25.72.103,2	
104.25.75.117,16	
104.25.76.117,20	
104.25.78.24,29	
104.25.79.24,22	
104.25.83.101,1	
104.25.84.101,7	
104.25.93.51,7	
104.25.94.51,8	
104.25.96.28,2	
104.25.97.28,2	
104.25.98.27,4	
104.25.99.27,4	
104.254.150.21,1	
104.255.93.178,7	
104.27.120.110,67	
104.27.121.110,87	
104.27.130.144,3	
104.27.131.144,8	
104.27.138.238,2	
104.27.138.75,5	
104.27.139.75,2	
104.27.142.149,2	
104.27.142.243,2	
104.27.143.149,3	
104.27.144.154,1	
104.27.144.213,5	
104.27.144.38,10	
104.27.144.52,3	
104.27.145.154,1	
104.27.145.213,4	
104.27.145.38,7	
104.27.145.52,6	
104.27.146.117,4	
104.27.146.180,74	
104.27.147.117,3	
104.27.147.180,73	
104.27.152.12,1	
104.27.152.130,1	
104.27.153.12,1	
104.27.153.130,2	
104.27.158.33,14	
104.27.159.33,12	
104.27.168.253,2	
104.27.174.43,4	
104.27.175.43,10	
104.27.178.80,1	
104.27.179.80,3	
104.27.180.151,7	
104.27.181.148,1	
104.27.181.151,1	
104.27.186.220,4	
104.27.187.220,3	
104.27.197.93,2	
104.27.198.93,12	
104.27.205.87,45	
104.27.206.87,7	
104.27.208.30,8	
104.27.209.30,3	
104.27.214.30,7	
104.27.215.30,18	
104.27.216.4,5	
104.27.32.64,20	
104.27.33.64,25	
104.28.0.241,7	
104.28.1.241,4	
104.28.12.116,6	
104.28.13.116,3	
104.28.14.126,2	
104.28.16.9,2	
104.28.16.90,9	
104.28.17.9,2	
104.28.17.90,7	
104.28.18.151,1	
104.28.19.20,1	
104.28.2.122,5	
104.28.2.206,9	
104.28.20.35,1	
104.28.20.67,2	
104.28.21.67,4	
104.28.22.30,4	
104.28.23.30,3	
104.28.24.242,4	
104.28.24.94,1	
104.28.25.242,3	
104.28.25.94,3	
104.28.26.91,9	
104.28.27.173,2	
104.28.27.91,3	
104.28.3.122,3	
104.28.3.206,10	
104.28.30.110,2	
104.28.30.20,2	
104.28.30.81,1	
104.28.31.110,2	
104.28.31.20,1	
104.28.31.81,1	
104.28.8.45,1	
104.28.9.45,2	
104.31.0.161,1	
104.31.0.178,19	
104.31.1.161,3	
104.31.1.178,6	
104.31.10.163,2	
104.31.10.172,12	
104.31.11.163,1	
104.31.11.172,8	
104.31.16.3,4	
104.31.17.3,18	
104.31.74.128,4	
104.31.75.128,8	
104.31.84.200,6	
104.31.85.200,1	
104.31.88.62,9	
104.31.89.62,3	
104.31.9.186,2	
104.31.90.107,60	
104.31.91.107,3	
104.31.91.87,14	
104.37.178.2,74	
104.40.184.156,27	
104.40.211.35,1	
104.43.195.251,1	
104.43.20.116,5	
104.43.208.16,2	
104.44.81.176,1	
104.45.136.42,2	
104.46.101.59,3	
104.66.3.203,4	
104.68.121.205,4	
104.70.0.193,1	
104.70.178.66,18	
104.70.178.72,6	
104.70.51.134,2	
104.70.52.144,1	
104.70.64.114,3	
104.72.154.233,1	
104.72.32.112,6	
104.72.44.54,1	
104.72.54.79,2	
104.72.57.90,3	
104.72.62.61,5	
104.73.174.105,9	
104.73.241.136,15	
104.73.246.149,2	
104.73.246.168,18	
104.73.246.210,5	
104.73.247.176,1	
104.73.249.236,2	
104.73.249.71,3	
104.73.249.97,1	
104.73.250.237,8	
104.73.252.128,7	
104.73.254.40,23	
104.74.19.163,3	
104.74.2.182,2	
104.74.8.144,7	
104.74.8.180,1	
104.74.9.130,4	
104.74.9.175,1	
104.74.9.244,1	
104.76.108.221,76	
104.76.108.44,4	
104.76.109.46,27	
104.76.110.117,8	
104.76.110.48,1	
104.76.111.154,3	
104.76.170.133,9	
104.79.129.95,2	
104.79.131.18,7	
104.79.131.33,12	
104.79.133.80,4	
104.79.134.103,7	
104.79.134.190,5	
104.79.135.161,3	
104.79.135.187,3	
104.79.136.188,7	
104.79.137.177,26	
104.79.137.205,1	
104.79.138.186,7	
104.79.138.80,2	
104.79.139.157,12	
104.79.140.194,1	
104.79.140.34,4	
104.79.140.99,29	
104.79.142.197,2	
104.79.143.90,120	
104.79.144.38,13	
104.79.144.70,29	
104.79.145.181,36	
104.79.145.229,21	
104.79.147.114,3	
104.79.147.94,34	
104.79.149.142,6	
104.79.150.160,50	
104.79.150.22,11	
104.79.151.15,3	
104.79.151.156,2	
104.79.151.6,2	
104.79.153.126,1	
104.79.155.110,27	
104.79.157.165,4	
104.79.88.192,28	
104.79.93.28,10	
104.80.206.171,4	
104.80.207.162,2	
104.80.207.226,1	
104.80.89.24,2	
104.80.89.26,1	
104.80.89.49,3	
104.80.89.81,1	
104.81.137.30,2	
104.82.242.71,8	
104.84.148.117,5	
104.84.148.123,259	
104.84.148.214,5	
104.84.148.238,4	
104.84.148.82,10	
104.84.149.185,17	
104.84.149.220,3	
104.84.149.249,2	
104.85.1.215,6	
104.85.11.111,20	
104.85.5.19,9	
104.87.104.141,2	
104.87.80.164,1	
104.88.1.160,15	
104.88.1.164,2	
104.88.1.208,24	
104.88.1.216,2	
104.88.1.61,1	
104.88.10.112,8	
104.88.10.115,12	
104.88.100.162,8	
104.88.100.197,12	
104.88.100.20,13	
104.88.101.111,1	
104.88.101.125,2	
104.88.101.129,6	
104.88.101.14,2	
104.88.101.181,5	
104.88.101.245,1	
104.88.101.57,19	
104.88.101.61,15	
104.88.101.94,10	
104.88.102.215,12	
104.88.102.228,27	
104.88.103.240,10	
104.88.103.51,8	
104.88.103.53,10	
104.88.103.56,7	
104.88.103.82,1	
104.88.104.151,2	
104.88.104.236,8	
104.88.104.52,7	
104.88.104.85,1	
104.88.106.206,11	
104.88.107.204,1	
104.88.107.249,21	
104.88.107.44,7	
104.88.107.52,14	
104.88.107.65,8	
104.88.108.103,1	
104.88.108.160,7	
104.88.108.162,46	
104.88.108.223,78	
104.88.108.34,3	
104.88.108.38,27	
104.88.108.66,16	
104.88.109.159,4	
104.88.109.24,62	
104.88.109.36,23	
104.88.109.75,19	
104.88.109.98,11	
104.88.11.162,11	
104.88.11.244,1	
104.88.12.254,1	
104.88.12.39,29	
104.88.12.40,2	
104.88.12.52,38	
104.88.14.9,87	
104.88.15.24,26	
104.88.16.179,11	
104.88.19.52,12	
104.88.19.73,5	
104.88.20.42,12	
104.88.21.127,3	
104.88.21.130,62	
104.88.21.85,34	
104.88.22.14,13	
104.88.22.147,2	
104.88.23.143,1	
104.88.23.183,3	
104.88.23.225,2	
104.88.25.189,48	
104.88.26.140,13	
104.88.26.71,6	
104.88.28.227,2	
104.88.29.71,14	
104.88.3.164,2	
104.88.32.234,13	
104.88.33.156,10	
104.88.33.160,11	
104.88.34.19,9	
104.88.35.145,8	
104.88.35.233,15	
104.88.35.26,6	
104.88.35.81,33	
104.88.37.108,2	
104.88.37.207,54	
104.88.38.117,5	
104.88.38.118,13	
104.88.38.23,9	
104.88.4.88,69	
104.88.40.130,1	
104.88.40.28,27	
104.88.41.68,2	
104.88.42.35,2	
104.88.42.42,143	
104.88.43.167,6	
104.88.43.246,13	
104.88.43.60,10	
104.88.43.91,4	
104.88.44.75,4	
104.88.46.11,17	
104.88.46.173,10	
104.88.46.214,10	
104.88.46.33,62	
104.88.47.219,2	
104.88.48.213,71	
104.88.48.88,4	
104.88.49.187,88	
104.88.49.31,9	
104.88.5.204,16	
104.88.50.226,49	
104.88.51.144,15	
104.88.52.119,1	
104.88.53.109,6	
104.88.53.237,5	
104.88.54.24,92	
104.88.54.52,2	
104.88.55.49,189	
104.88.56.105,8	
104.88.56.59,35	
104.88.57.212,17	
104.88.57.70,5	
104.88.58.222,13	
104.88.59.121,8	
104.88.59.139,6	
104.88.6.140,6	
104.88.6.72,1	
104.88.6.95,6	
104.88.60.48,17	
104.88.60.97,46	
104.88.61.44,13	
104.88.61.9,3	
104.88.64.202,12	
104.88.64.89,4	
104.88.65.156,56	
104.88.65.4,5	
104.88.65.73,5	
104.88.66.118,557	
104.88.66.182,24	
104.88.67.77,8	
104.88.68.190,8	
104.88.69.146,23	
104.88.69.203,12	
104.88.7.7,20	
104.88.70.158,95	
104.88.70.167,56	
104.88.70.183,2	
104.88.70.219,26	
104.88.70.228,2	
104.88.70.34,21	
104.88.70.67,15	
104.88.71.38,3	
104.88.72.183,12	
104.88.72.226,5	
104.88.72.232,1	
104.88.72.93,7	
104.88.73.102,8	
104.88.73.124,58	
104.88.73.125,1	
104.88.73.131,2	
104.88.73.3,6	
104.88.74.34,1	
104.88.75.116,105	
104.88.75.146,5	
104.88.8.185,94	
104.88.80.101,3	
104.88.80.137,2	
104.88.80.191,15	
104.88.80.231,1	
104.88.81.199,17	
104.88.82.105,4	
104.88.82.15,3	
104.88.82.179,1	
104.88.82.33,10	
104.88.82.41,6	
104.88.82.58,2	
104.88.82.68,25	
104.88.82.90,85	
104.88.83.114,3	
104.88.83.152,54	
104.88.83.157,2	
104.88.83.187,4	
104.88.83.236,1	
104.88.83.55,20	
104.88.83.56,17	
104.88.83.57,3	
104.88.83.72,23	
104.88.83.73,9	
104.88.83.78,3	
104.88.83.80,18	
104.88.83.85,7	
104.88.84.101,2	
104.88.84.143,7	
104.88.84.167,10	
104.88.84.17,3	
104.88.84.207,77	
104.88.84.233,10	
104.88.84.250,2	
104.88.84.97,4	
104.88.85.104,1	
104.88.85.193,7	
104.88.85.194,2	
104.88.85.229,3	
104.88.85.56,18	
104.88.85.72,16	
104.88.86.189,3	
104.88.86.240,39	
104.88.86.249,5	
104.88.86.58,3	
104.88.86.80,2	
104.88.86.91,12	
104.88.87.167,1	
104.88.87.169,8	
104.88.87.173,5	
104.88.87.202,2	
104.88.87.30,18	
104.88.87.66,6	
104.88.87.75,6	
104.88.87.78,343	
104.88.88.128,2	
104.88.88.144,3	
104.88.88.156,5	
104.88.89.125,3	
104.88.89.135,962	
104.88.89.14,23	
104.88.89.148,16	
104.88.89.252,4	
104.88.89.35,5	
104.88.89.49,6	
104.88.9.44,84	
104.88.90.103,1	
104.88.90.110,15	
104.88.90.114,4	
104.88.90.116,16	
104.88.90.50,5	
104.88.90.65,9	
104.88.91.130,1	
104.88.92.108,4	
104.88.92.139,15	
104.88.92.146,1	
104.88.92.192,2	
104.88.92.24,2	
104.88.93.11,11	
104.88.93.190,1	
104.88.93.194,4	
104.88.93.77,7	
104.88.94.120,6	
104.88.94.127,2	
104.88.94.36,21	
104.88.94.64,3	
104.88.95.130,6	
104.88.95.158,43	
104.88.95.176,13	
104.88.95.221,4	
104.88.96.174,13	
104.88.96.27,16	
104.88.96.53,3	
104.88.96.74,3	
104.88.97.232,10	
104.88.99.160,2	
104.88.99.236,12	
104.89.64.20,8	
104.89.79.233,40	
104.89.84.200,3	
104.90.20.13,1	
104.90.38.79,2	
104.90.60.254,2	
104.90.61.82,1	
104.90.76.90,13	
104.90.88.199,9	
104.90.88.218,2	
104.90.89.164,1	
104.90.89.181,3	
104.90.89.210,5	
104.90.89.219,1	
104.90.89.233,2	
104.90.89.241,16	
104.90.90.137,1	
104.90.90.183,1	
104.90.90.61,4	
104.90.91.124,5	
104.90.91.13,2	
104.90.91.22,1	
